tract,buss_licences,building_violations,vehicle_theft,burglary,robbery,public_peace_violation,weapons_violation,sexual_assault,homicides,rodents,garbage,sanitation,abandon_vehicles,pot_holes,tree_trims,street_lights,S0101_C01_001E,S1101_C01_002E,S1401_C02_001E,S1401_C02_030E,S1501_C02_002E,S1501_C02_008E,S1601_C02_003E,S1701_C03_001E,S1810_C03_001E,S1901_C01_012E,S2201_C02_001E,S2301_C03_001E,S2701_C03_001E
10100,0.95488183337312,13.129625208880402,1.67104320840296,6.445452375268561,2.62592504177608,1.1936022917164,2.1484841250895204,1.1936022917164,2.0,8.593936500358081,2.1484841250895204,4.7744091668656,9.07137741704464,17.187873000716163,25.781809501074243,1.90976366674624,4189.0,1.89,73.9,-888888888.0,61.4,1.7,77.3,29.7,10.6,30798.0,438.0,63.6,18.1
10201,0.8470986869970352,15.67132570944515,0.988281801496541,3.670760976987152,2.682479175490611,0.2823662289990117,0.5647324579980234,0.5647324579980234,1.0,16.941973739940703,3.5295778624876464,3.953127205986164,9.600451785966397,11.718198503458986,3.953127205986164,0.8470986869970352,7083.0,2.76,86.9,-888888888.0,30.0,4.9,55.9,32.8,11.0,40532.0,639.0,58.2,30.7
10202,4.396482813749001,8.393285371702639,7.593924860111911,4.396482813749001,5.595523581135092,0.39968025579536376,1.1990407673860912,0.39968025579536376,1.0,11.590727418065548,2.797761790567546,4.796163069544365,3.19744204636291,27.5779376498801,8.792965627498003,1.9984012789768186,2502.0,2.05,80.2,-888888888.0,0.0,10.1,58.9,30.6,15.1,25250.0,194.0,54.4,18.4
10300,1.7704812489940447,6.599066473523258,2.253339771446966,4.0238210204410105,2.575245453082247,0.3219056816352809,0.6438113632705618,0.3219056816352809,0.0,5.955255110252696,1.7704812489940447,2.253339771446966,6.920972155158538,10.622887493964269,3.380009657170449,2.253339771446966,6213.0,1.97,76.4,-888888888.0,34.0,16.0,41.0,26.8,10.5,42606.0,565.0,56.7,19.7
10400,3.1712473572938684,4.651162790697674,0.2114164904862579,1.6913319238900633,1.2684989429175475,0.4228329809725158,0.2114164904862579,0.8456659619450316,0.0,10.359408033826638,2.1141649048625792,1.0570824524312896,2.1141649048625792,8.0338266384778,3.5940803382663846,1.6913319238900633,4730.0,1.82,17.9,-888888888.0,0.0,0.0,87.7,17.2,8.1,38531.0,171.0,56.5,9.8
10501,0.7830853563038371,4.176455233620465,2.0882276168102325,3.6543983294179068,1.5661707126076743,0.0,0.26102845210127906,0.0,0.0,2.8713129731140694,0.0,2.349256068911511,4.959540589924302,7.047768206734534,9.919081179848604,1.0441138084051163,3831.0,1.7,50.2,-888888888.0,0.0,10.8,71.1,21.3,13.2,26157.0,457.0,64.2,21.6
10502,0.8130081300813008,13.008130081300813,1.3550135501355014,2.1680216802168024,0.8130081300813008,0.2710027100271003,0.2710027100271003,0.5420054200542006,1.0,8.401084010840108,1.6260162601626016,1.0840108401084012,2.4390243902439024,4.607046070460704,5.149051490514905,1.3550135501355014,3690.0,2.35,39.0,-888888888.0,13.6,5.2,68.2,42.7,6.7,33340.0,305.0,58.5,19.4
10503,2.6929982046678633,5.834829443447037,2.2441651705565526,3.5906642728904843,1.7953321364452421,0.0,0.0,0.44883303411131054,1.0,16.60682226211849,4.937163375224416,3.141831238779174,4.488330341113105,16.60682226211849,7.181328545780969,3.141831238779174,2228.0,1.96,11.6,-888888888.0,0.0,10.2,44.8,39.4,17.1,21530.0,302.0,52.5,9.2
10600,5.680945800706279,7.676953784738216,2.3030861354214647,2.917242438200522,2.4566252111162292,0.15353907569476433,1.0747735298633503,0.6141563027790573,0.0,5.527406725011516,1.9960079840319362,4.452633195148166,7.216336557653923,10.133578995854446,16.428681099339784,3.0707815138952865,6513.0,2.03,64.2,-888888888.0,26.7,6.1,71.5,15.6,7.1,42246.0,435.0,70.9,24.0
10701,0.5068423720223011,16.218955904713635,3.2944754181449567,3.0410542321338063,1.0136847440446022,0.25342118601115055,0.5068423720223011,0.0,0.0,20.020273694880892,7.602635580334516,1.7739483020780535,16.218955904713635,16.979219462747086,10.13684744044602,1.2671059300557526,3946.0,2.58,79.8,-888888888.0,35.7,4.7,60.2,14.4,6.6,54765.0,370.0,68.2,21.8
10702,6.257110352673492,13.462267728479333,1.5168752370117558,1.7064846416382253,2.2753128555176336,0.5688282138794084,0.5688282138794084,0.18960940462646947,0.0,5.877891543420554,2.654531664770573,5.688282138794084,10.428517254455821,17.633674630261662,11.376564277588168,2.2753128555176336,5274.0,2.83,78.6,-888888888.0,18.7,8.4,52.6,38.1,6.3,36967.0,462.0,69.5,28.6
20100,0.7518796992481203,12.280701754385964,1.0025062656641603,1.5037593984962405,1.7543859649122806,0.2506265664160401,0.0,0.2506265664160401,1.0,39.097744360902254,8.771929824561402,2.0050125313283207,11.027568922305765,23.809523809523807,11.027568922305765,0.5012531328320802,3990.0,2.64,70.1,-888888888.0,0.0,8.6,66.6,18.4,10.7,51069.0,308.0,55.8,22.2
20200,1.9184652278177459,7.034372501998401,1.4388489208633093,2.8776978417266186,0.319744204636291,0.1598721023181455,0.319744204636291,0.0,0.0,32.454036770583535,24.620303756994407,4.636290967226219,7.6738609112709835,36.45083932853717,16.30695443645084,4.796163069544365,6255.0,3.18,46.8,-888888888.0,10.2,7.8,48.0,15.6,14.0,88476.0,246.0,59.4,13.8
20302,0.6450225757901527,13.330466566329822,1.0750376263169212,2.795097828423995,1.0750376263169212,0.0,0.0,0.6450225757901527,0.0,50.956783487422065,7.310255858955064,5.59019565684799,16.985594495807355,27.735970758976567,10.10535368737906,3.870135454740916,4651.0,2.54,87.6,-888888888.0,31.4,10.0,56.1,10.7,8.1,57765.0,170.0,53.4,15.6
20400,0.6986492780624127,6.2878435025617145,1.1644154634373545,5.356311131811831,1.3972985561248255,0.0,0.4657661853749418,0.2328830926874709,1.0,42.61760596180718,10.24685607824872,3.7261294829995344,9.548206800186307,31.439217512808572,8.383791336748953,3.7261294829995344,4294.0,2.52,74.8,-888888888.0,36.9,4.6,66.9,12.4,10.2,62847.0,113.0,67.1,21.0
20500,0.999333777481679,24.983344437041975,0.8327781479013991,4.1638907395069955,2.6648900732844774,0.4996668887408395,0.6662225183211193,0.0,1.0,9.66022651565623,5.163224516988675,3.664223850766156,5.163224516988675,14.990006662225184,5.662891405729514,3.664223850766156,6004.0,2.75,81.0,-888888888.0,19.4,6.0,49.4,24.0,11.3,38173.0,505.0,53.1,33.8
20601,1.6425265044049575,18.96371509631178,1.1945647304763327,3.583694191428998,1.9411676870240406,0.44796177392862474,0.0,0.0,0.0,29.11751530536061,8.361953113334328,7.316708974167538,6.719426608929371,13.14021203523966,11.199044348215619,2.3891294609526654,6697.0,3.63,67.7,-888888888.0,20.1,11.6,42.3,20.7,8.3,50000.0,429.0,57.8,24.7
20602,1.9502681618722573,18.771331058020476,4.144319843978547,5.363237445148708,3.1691857630424183,0.0,0.7313505607020965,0.24378352023403216,0.0,16.333495855680155,15.84592881521209,6.582155046318868,10.238907849829351,23.890784982935152,7.313505607020965,4.388103364212579,4102.0,2.95,79.7,-888888888.0,7.6,3.3,67.1,26.3,5.9,44702.0,310.0,55.9,28.7
20701,6.3391442155309035,4.754358161648177,1.5847860538827259,6.867406233491812,2.1130480718436346,1.5847860538827259,1.5847860538827259,1.5847860538827259,0.0,17.96090861067089,17.96090861067089,27.469624933967246,19.01743264659271,54.93924986793449,22.18700475435816,3.1695721077654517,1893.0,3.1,60.8,-888888888.0,0.0,5.1,64.6,20.8,10.4,72368.0,51.0,60.4,5.0
20702,0.9718172983479106,14.455782312925171,1.579203109815355,4.980563654033042,0.728862973760933,0.728862973760933,0.3644314868804665,0.0,0.0,28.42565597667639,7.0456754130223525,4.8590864917395535,7.774538386783285,22.351797862001945,6.559766763848397,1.336248785228377,8232.0,3.49,59.1,-888888888.0,15.5,8.9,52.7,18.3,12.4,47571.0,515.0,61.0,20.8
20801,2.437943262411348,14.406028368794328,2.8812056737588656,5.98404255319149,1.773049645390071,0.0,0.22163120567375888,0.0,1.0,32.13652482269504,19.503546099290784,7.535460992907802,10.416666666666668,26.374113475177307,5.762411347517731,6.427304964539008,4512.0,2.36,80.1,-888888888.0,20.2,8.0,56.4,17.5,11.1,56027.0,286.0,62.4,17.6
20802,1.3850415512465373,16.11684714177789,2.644170234197935,4.029211785444472,1.2591286829513977,0.12591286829513976,0.6295643414756988,0.37773860488541927,0.0,24.553009317552252,7.177033492822966,4.9106018635104505,8.310249307479225,16.872324351548727,9.443465122135482,1.7627801561319567,7942.0,3.83,72.4,-888888888.0,11.1,1.8,52.1,26.1,9.0,53356.0,605.0,59.8,37.2
20901,2.39377618192699,11.170955515659285,2.7927388789148213,3.391182924396569,2.7927388789148213,0.5984440454817475,0.19948134849391583,0.19948134849391583,0.0,10.97147416716537,5.186515060841812,3.9896269698783167,13.963694394574107,20.147616197885498,6.5828845002992225,1.3963694394574107,5013.0,2.86,85.7,-888888888.0,2.6,7.5,50.4,27.6,6.0,37409.0,319.0,61.0,30.7
20902,0.9535160905840285,2.3837902264600714,2.3837902264600714,2.145411203814064,1.1918951132300357,0.0,0.23837902264600713,0.23837902264600713,0.0,11.68057210965435,2.3837902264600714,1.1918951132300357,6.6746126340881995,24.076281287246722,7.389749702026221,2.145411203814064,4195.0,2.47,86.3,-888888888.0,7.5,1.7,60.5,18.2,18.1,38320.0,259.0,52.9,17.9
30101,5.634558626240945,2.951435470888114,0.26831231553528306,0.8049369466058492,0.26831231553528306,0.0,0.5366246310705661,0.5366246310705661,0.0,2.4148108398175476,0.26831231553528306,0.8049369466058492,1.3415615776764154,4.024684733029246,1.3415615776764154,0.5366246310705661,3727.0,1.66,63.1,-888888888.0,14.6,1.7,64.5,24.1,17.2,39443.0,323.0,57.2,29.4
30102,2.3680649526387008,8.795669824086604,0.6765899864682002,2.029769959404601,1.0148849797023005,0.0,0.6765899864682002,0.3382949932341001,0.0,2.3680649526387008,0.0,0.3382949932341001,2.3680649526387008,5.074424898511502,0.3382949932341001,1.0148849797023005,2956.0,1.66,41.6,-888888888.0,0.0,5.0,63.5,17.5,12.4,40849.0,190.0,62.2,20.2
30103,2.234137622877569,8.04289544235925,0.0,1.3404825737265416,2.234137622877569,0.44682752457551383,0.0,0.0,0.0,0.0,0.0,0.44682752457551383,2.234137622877569,3.5746201966041107,0.44682752457551383,1.7873100983020553,2238.0,1.62,27.2,-888888888.0,0.0,8.8,53.1,21.6,17.5,34444.0,130.0,59.0,12.2
30200,1.3272658323852864,16.685627607129312,3.223359878649981,3.223359878649981,1.5168752370117558,0.37921880925293894,0.0,0.37921880925293894,0.0,22.3739097459234,12.514220705346984,4.929844520288206,18.960940462646946,22.18430034129693,43.42055365946151,3.223359878649981,5274.0,2.2,45.6,-888888888.0,17.3,2.3,67.9,10.3,8.5,58625.0,114.0,69.9,15.5
30300,2.951787471302066,12.463102656608724,0.6559527714004592,3.6077402427025254,0.6559527714004592,0.6559527714004592,0.3279763857002296,0.0,0.0,31.15775664152181,11.151197113807806,3.935716628402755,15.414890127910791,19.022630370613317,14.102984585109873,3.279763857002296,3049.0,2.21,77.3,-888888888.0,28.9,9.9,64.2,23.6,7.5,36520.0,230.0,65.7,21.9
30400,2.981736861721953,4.845322400298174,1.1181513231457325,2.609019754006709,0.7454342154304883,0.0,0.0,0.0,1.0,15.654118524040255,8.94521058516586,2.981736861721953,7.454342154304883,24.97204621692136,13.41781587774879,2.236302646291465,2683.0,2.16,68.4,-888888888.0,21.9,5.1,50.9,25.8,11.8,41736.0,317.0,62.6,18.9
30500,1.4356356675705855,14.675386824054874,2.871271335141171,2.233211038443133,1.7546658159196045,0.1595150741745095,0.1595150741745095,0.0,0.0,12.44217578561174,5.263997447758813,2.552241186792152,8.135268782899983,19.939384271813687,10.687509969692135,2.7117562609666614,6269.0,2.16,64.4,-888888888.0,6.9,4.7,52.3,14.9,5.3,63906.0,149.0,76.4,16.1
30601,1.1305822498586773,11.588468061051442,2.2611644997173546,1.1305822498586773,1.4132278123233466,1.1305822498586773,0.5652911249293386,0.5652911249293386,0.0,2.2611644997173546,1.1305822498586773,1.695873374788016,2.5438100621820237,4.23968343697004,3.674392312040701,2.2611644997173546,3538.0,1.75,67.4,-888888888.0,5.4,2.5,40.1,31.2,12.3,36413.0,291.0,58.7,29.5
