,collection_costs_or_attorney_fees,court_cost,current_amount_due,disposition_description,docket_number,entity_or_person_s_,interest_amount,issued_date,issuing_department,last_hearing_date,original_total_amount_due,property_address,total_administrative_costs,total_fines,total_paid,violation_number,violation_type
0,0,0.0,,City non-suit,16CP017290,"NATIONWIDE REO LLC, ",0,2001-01-01T00:00:00.000,POLICE,2016-04-01T01:00:00.000,,5744 S SANGAMON ,0,0,,P004738056,13-12-125  Duty to secure and maintain vacant building.
1,0,0.0,,City non-suit,16CP017290,"NATIONWIDE REO LLC, ",0,2001-01-01T00:00:00.000,POLICE,2016-04-01T01:00:00.000,,5744 S SANGAMON ,0,0,,P004738057,13-12-140  Watchman required
2,0,0.0,,City non-suit,16CP017290,"NATIONWIDE REO LLC, ",0,2001-01-01T00:00:00.000,POLICE,2016-04-01T01:00:00.000,,5744 S SANGAMON ,0,0,,P004738058,13-12-125  Duty to secure and maintain vacant building.
3,0,0.0,,City non-suit,17CP002901,"WELLS FARGO BANK NA, ",0,2001-01-01T00:00:00.000,POLICE,2017-02-03T11:00:00.000,,649 E 89TH ST ,0,0,,P005028213,13-12-125  Duty to secure and maintain vacant building.
4,0,0.0,,City non-suit,18CP009713,"U S BANK AND TRUST, ",0,2001-01-01T00:00:00.000,POLICE,2018-03-02T09:00:00.000,,4622 S WINCHESTER AV ,0,0,,P005229003,13-12-125  Duty to secure and maintain vacant building.
5,0,0.0,,City non-suit,18CP009713,"U S BANK AND TRUST, ",0,2001-01-01T00:00:00.000,POLICE,2018-03-02T09:00:00.000,,4622 S WINCHESTER AV ,0,0,,P005229004,13-12-140  Watchman required
6,0,0.0,,City non-suit,18CP009713,"U S BANK AND TRUST, ",0,2001-01-01T00:00:00.000,POLICE,2018-03-02T09:00:00.000,,4622 S WINCHESTER AV ,0,0,,P005229005,13-12-125  Duty to secure and maintain vacant building.
7,0,0.0,,City non-suit,18CP009713,"U S BANK AND TRUST, ",0,2001-01-01T00:00:00.000,POLICE,2018-03-02T09:00:00.000,,4622 S WINCHESTER AV ,0,0,,P005229006,13-12-140  Watchman required
8,0,0.0,,City non-suit,18CP009713,"U S BANK AND TRUST, ",0,2001-01-01T00:00:00.000,POLICE,2018-03-02T09:00:00.000,,4622 S WINCHESTER AV ,0,0,,P005229007,13-12-125  Duty to secure and maintain vacant building.
9,0,0.0,,City non-suit,18CP010070,"TCF NATL BANK, ",0,2001-01-01T00:00:00.000,POLICE,2018-03-02T09:00:00.000,,3642 S HERMITAGE ,0,0,,P005319066,13-12-125  Duty to secure and maintain vacant building.
10,0,0.0,,City non-suit,18CP010070,"TCF NATL BANK, ",0,2001-01-01T00:00:00.000,POLICE,2018-03-02T09:00:00.000,,3642 S HERMITAGE ,0,0,,P005319067,13-12-140  Watchman required
11,0,0.0,,City non-suit,18CP010070,"TCF NATL BANK, ",0,2001-01-01T00:00:00.000,POLICE,2018-03-02T09:00:00.000,,3642 S HERMITAGE ,0,0,,P005319068,13-12-125  Duty to secure and maintain vacant building.
12,0,0.0,,City non-suit,18CP010070,"TCF NATL BANK, ",0,2001-01-01T00:00:00.000,POLICE,2018-03-02T09:00:00.000,,3642 S HERMITAGE ,0,0,,P005319069,13-12-140  Watchman required
13,0,0.0,,City non-suit,16CP102379,"DEUTSCHE BANK NATL TRUST, ",0,2004-10-01T00:00:00.000,POLICE,2016-12-02T09:00:00.000,,4443 S PRINCETON ,0,0,,P005082152,13-12-140  Watchman required
14,0,0.0,,City non-suit,16CP102379,"DEUTSCHE BANK NATL TRUST, ",0,2004-10-01T00:00:00.000,POLICE,2016-12-02T09:00:00.000,,4443 S PRINCETON ,0,0,,P005082153,13-12-125  Duty to secure and maintain vacant building.
15,0,0.0,,City non-suit,16CP102379,"DEUTSCHE BANK NATL TRUST, ",0,2004-10-01T00:00:00.000,POLICE,2016-12-02T09:00:00.000,,4443 S PRINCETON ,0,0,,P005082154,13-12-140  Watchman required
16,0,0.0,,City non-suit,16CP102379,"DEUTSCHE BANK NATL TRUST, ",0,2004-10-01T00:00:00.000,POLICE,2016-12-02T09:00:00.000,,4443 S PRINCETON ,0,0,,P005082155,13-12-125  Duty to secure and maintain vacant building.
17,0,0.0,,City non-suit,16CP102379,"DEUTSCHE BANK NATL TRUST, ",0,2004-10-01T00:00:00.000,POLICE,2016-12-02T09:00:00.000,,4443 S PRINCETON ,0,0,,P005082156,13-12-140  Watchman required
